id;numero;ano;orgao;state;status;deadline;score;level;place;why;blockers;opps;url;first_seen;last_seen
7021;824/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;aberto;Encerra em: 30 dias;20/09/2026;0;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3);;Processo Seletivo 1 (uma) GSISP, NS, na área de Privacidade e Segurança da Informação, na STI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7021;21/08/2026;21/08/2026
7015;825.1/2026;2026;Agência Nacional de Energia Elétrica;aberto;Encerra em: 20 dias;10/09/2026;-9;;Manaus/AM;Manaus/AM(-5), graduação específica(-4);graduação específica;Alteração de exercício - Graduação em Engenharia Elétrica;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7015;21/08/2026;21/08/2026
7013;826/2026;2026;Ministério do Trabalho e Emprego;a abrir;Início das incrições: 24/08/2026;24/08/2026;2;;;órgão-alvo(+2);;Analista de Prestação de Contas e Tomada de Contas Especial - Revisor;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7013;21/08/2026;21/08/2026
7012;814/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 10 dias;31/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISTE de Nível Superior - CADADOS/CGIE/DIGES/SEST;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7012;21/08/2026;21/08/2026
7011;813/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 10 dias;31/08/2026;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;Gratificação Temporária Sistema de Administração dos Recursos de Tecnologia da Informação (GSISP NI);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7011;21/08/2026;21/08/2026
7010;822/2026;2026;Defensoria Pública da União;a abrir;Início das incrições: 31/08/2026;31/08/2026;-5;;DPU em Campo Grande/MS;DPU em Campo Grande/MS(-5);;Setor de Atendimento - DPU em Campo Grande/MS;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7010;21/08/2026;21/08/2026
7009;817/2026;2026;Departamento Nacional de Infraestrutura de Transportes;aberto;Encerra em: 12 dias;02/09/2026;-2;chefia baixa;;chefia baixa(-3), infraestrutura(+1);;Chefe do Serviço de Contabilidade e Finanças - FCE 1.05;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7009;21/08/2026;21/08/2026
7008;818/2026;2026;Departamento Nacional de Infraestrutura de Transportes;aberto;Encerra em: 12 dias;02/09/2026;1;;;infraestrutura(+1);;Analista ou Técnico Administrativo - SECONF;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7008;21/08/2026;21/08/2026
7006;816/2026;2026;Departamento Nacional de Infraestrutura de Transportes;aberto;Encerra em: 12 dias;02/09/2026;1;;;infraestrutura(+1);;Analista ou Técnico Administrativo - Serviço de Gestão de Pessoas;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7006;21/08/2026;21/08/2026
7005;812/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 9 dias;30/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISTE de Nível Superior para atuação na Coordenação-Geral de Estruturação de Dados Cadastrais do Ci;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7005;21/08/2026;21/08/2026
7004;807.1/2026;2026;Instituto Nacional da Propriedade Industrial;aberto;Encerra em: 11 dias;01/09/2026;-4;;;nível médio/intermediário(-4);nível médio/intermediário;Apoio Administrativo - DIRMA/CGPA;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7004;21/08/2026;21/08/2026
7002;806/2026;2026;Instituto Nacional da Propriedade Industrial;aberto;Encerra em: 11 dias;01/09/2026;-4;;;nível médio/intermediário(-4);nível médio/intermediário;Apoio Administrativo e de Gestão - DIRMA/CGNOC;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/7002;21/08/2026;21/08/2026
6999;811/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;a abrir;Início das incrições: 31/08/2026;31/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISP NS_ Coordenação Geral de Tecnologia da Informação, COTIN-AN;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6999;21/08/2026;21/08/2026
6998;804/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 7 dias;28/08/2026;-3;chefia baixa;;chefia baixa(-3);;FCE 2.01, de Assistente Técnico na Corregedoria;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6998;21/08/2026;21/08/2026
6997;803/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 10 dias;31/08/2026;-3;chefia baixa;;chefia baixa(-3);;FCE 1.05 de Chefe de Serviço na  Coordenação-Geral de Autorização e Fiscalização (CGAF/DEPAM);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6997;21/08/2026;21/08/2026
6996;802/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 7 dias;28/08/2026;-3;chefia baixa;;chefia baixa(-3);;FCE 2.01, de Assistente Técnico, na Coordenação Administrativa da Superintendência do Iphan-AM;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6996;21/08/2026;21/08/2026
6995;815/2026;2026;Departamento Nacional de Infraestrutura de Transportes;aberto;Encerra em: 12 dias;02/09/2026;-3;;;infraestrutura(+1), nível médio/intermediário(-4);nível médio/intermediário;Analista Administrativo (ou cargo equivalente de Nível Superior) - SELOG | Técnico Administrativo (ou cargo equivalente de Nível Médio) - SELOG;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6995;21/08/2026;21/08/2026
6994;808/2026;2026;Ministério da Saúde;a abrir;Início das incrições: 24/08/2026;24/08/2026;3;coordenador (1.10);;coordenador (1.10)(+1), órgão-alvo(+2);;Coordenador na Coordenação de Apuração de Custos;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6994;21/08/2026;21/08/2026
6993;801/2026;2026;Instituto do Patrimônio Histórico e Artístico Nacional;aberto;Encerra em: 28 dias;18/09/2026;-8;chefia baixa;Iphan em João Pessoa/PB;chefia baixa(-3), Iphan em João Pessoa/PB(-5);;FCE 2.01 de Assistente Técnico na Divisão Administrativa do Iphan em João Pessoa/PB;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6993;21/08/2026;21/08/2026
6989;805/2026;2026;Ministério da Agricultura e Pecuária;aberto;Encerra em: 40 dias;30/09/2026;1;coordenador (1.10);;coordenador (1.10)(+1);;Função Comissionada Executiva de Assessor Técnico Especializado FCE 4.03;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6989;21/08/2026;21/08/2026
6987;798/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;aberto;Encerra em: 23 dias;13/09/2026;-4;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3), graduação específica(-4);graduação específica;Processo Seletivo 1 (uma) GSISP, NS, na área de Gestão de Dados e Informações, na STI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6987;21/08/2026;21/08/2026
6986;797/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;aberto;Encerra em: 2 dias;23/08/2026;-4;chefia baixa;Brasília;chefia baixa(-3), Brasília(+1), órgão-alvo(+2), graduação específica(-4);graduação específica;Processo seletivo para concessão de FCE 3.07 (Chefe de Projeto II), na SINAPSE;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6986;21/08/2026;21/08/2026
6984;796/2026;2026;Ministério do Turismo;aberto;Encerra em: 7 dias;28/08/2026;0;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3);;GSISTE, Nível Superior (NS) - COMOP;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6984;21/08/2026;21/08/2026
6982;799/2026;2026;Agência Nacional do Cinema;aberto;Encerra em: 7 dias;28/08/2026;-7;;;gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;GSISP Nível Superior | GSISP Nível Intermediário;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6982;21/08/2026;21/08/2026
6981;827/2026;2026;Ministério da Fazenda;a abrir;Início das incrições: 24/08/2026;24/08/2026;2;;;órgão-alvo(+2);;Ouvidoria - SPA (GABIN) | Coordenação de Assuntos de Pessoal (COAP) | Coordenação-Geral de Autorização de Promoções Comerciais (CGPC);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6981;21/08/2026;21/08/2026
6980;795/2026;2026;Agência Nacional de Mineração;aberto;Encerra em: 0 dias;21/08/2026;-3;chefia baixa;;chefia baixa(-3);;Chefe da Divisão de Gestão de Serviços Gerais e Apoio Administrativo - DIVSGA/SEDE;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6980;21/08/2026;21/08/2026
6979;792/2026;2026;Ministério do Turismo;aberto;Encerra em: 14 dias;04/09/2026;4;coordenador (1.10);Brasília;coordenador (1.10)(+1), Brasília(+1), órgão-alvo(+2);;COORDENADOR FCE 1.10;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6979;21/08/2026;21/08/2026
6977;794/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 18 dias;08/09/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISTE - NS na Coordenação de Gestão e Parcerias/CENTRAL/SEGES/MGI | GSISTE - NS na Coordenação-Geral de Licitações/CENTRAL/SEGE/MGI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6977;21/08/2026;21/08/2026
6976;793/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;aberto;Encerra em: 18 dias;08/09/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISTE - NS na Coordenação-Geral de Licitações/CENTRAL/SEGE/MGI | GSISTE - NS na Coordenação de Gestão e Parcerias/CENTRAL/SEGES/MGI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6976;21/08/2026;21/08/2026
6973;790/2026;2026;Ministério do Desenvolvimento e Assistência Social, Família e Combate à Fome;aberto;Encerra em: 23 dias;13/09/2026;-4;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;Processo Seletivo 1 (uma) GSISP, NI, na área de Gestão e Planejamento de TI, na STI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6973;21/08/2026;21/08/2026
6971;800/2026;2026;Ministério da Cultura;aberto;Encerra em: 25 dias;15/09/2026;-7;chefia baixa;;chefia baixa(-3), nível médio/intermediário(-4);nível médio/intermediário;Chefe de Divisão (FCE 1.07) para atuar na Coordenação-Geral de Fiscalização e Sanções da SDAI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6971;21/08/2026;21/08/2026
6968;788/2026;2026;Ministério da Ciência, Tecnologia e Inovação;encerrado;Inscrições Encerradas;;-6;;Manaus/AM;Manaus/AM(-5), órgão-alvo(+2), gratificação técnica(-3);;Transformação Digital | Privacidade e Segurança da Informação;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6968;21/08/2026;21/08/2026
6967;789/2026;2026;Departamento Nacional de Infraestrutura de Transportes;aberto;Encerra em: 5 dias;26/08/2026;-3;;;infraestrutura(+1), nível médio/intermediário(-4);nível médio/intermediário;Servidores de nível médio ou superior - Núcleo de Desapropriação  - NDESP | Servidores de nivel médio ou superior  - Gabinete;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6967;21/08/2026;21/08/2026
6963;819/2026;2026;Ministério da Fazenda;a abrir;Início das incrições: 24/08/2026;24/08/2026;4;coordenador (1.10);Brasília;coordenador (1.10)(+1), Brasília(+1), órgão-alvo(+2);;Coordenador de Segurança da Informação - FCE - 1.10;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6963;21/08/2026;21/08/2026
6962;784/2026;2026;Ministério da Ciência, Tecnologia e Inovação;aberto;Encerra em: 5 dias;26/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;2 (duas) vagas para concessão de GSISP, de Nível Superior (NS)  de que trata o art. 287 da Lei nº 11;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6962;21/08/2026;21/08/2026
6959;782.1/2026;2026;Controladoria-Geral da União;aberto;Encerra em: 0 dias;21/08/2026;0;;Brasília;Brasília(+1), órgão-alvo(+2), gratificação técnica(-3);;Chamada Pública para atuar na Secretaria Nacional de Transparência e Acesso à Informação - SNAI/CGU;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6959;21/08/2026;21/08/2026
6956;821/2026;2026;Ministério da Gestão e da Inovação em Serviços Públicos;a abrir;Início das incrições: 24/08/2026;24/08/2026;-1;;;órgão-alvo(+2), gratificação técnica(-3);;GSISTE de Nível SUPERIOR para atuar na Coordenação de Modernização Organizacional;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6956;21/08/2026;21/08/2026
6954;781/2026;2026;Superintendência Nacional de Previdência Complementar;encerrado;Inscrições Encerradas;;-3;;;gratificação técnica(-3);;Gratificação Temporária do Sistema de Administração de Recursos Humanos - GSISTE SIPEC;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6954;21/08/2026;21/08/2026
6953;787/2026;2026;Ministério dos Povos Indígenas;encerrado;Inscrições Encerradas;;-3;;;gratificação técnica(-3);;GSISTE NS - Sistema de Informações Organizacionais do Governo Federal (SIORG);https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6953;21/08/2026;21/08/2026
6951;780/2026;2026;Ministério da Pesca e Aquicultura;encerrado;Inscrições Encerradas;;-3;chefia baixa;;chefia baixa(-3);;Chefe de Divisão;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6951;21/08/2026;21/08/2026
6950;778/2026;2026;Ministério da Pesca e Aquicultura;encerrado;Inscrições Encerradas;;0;;;;;Coordenação-Geral de Governança Estratégica;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6950;21/08/2026;21/08/2026
6949;791/2026;2026;Ministério da Agricultura e Pecuária;encerrado;Inscrições Encerradas;;0;;;;;Divisão de Qualidade de Vida no Trabalho - DIVQVT/CGASS;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6949;21/08/2026;21/08/2026
6947;779/2026;2026;Agência Nacional do Petróleo, Gás Natural e Biocombustíveis;aberto;Encerra em: 2 dias;23/08/2026;-8;;Rio de Janeiro/RJ;Rio de Janeiro/RJ(-5), gratificação técnica(-3);;GSISP de Nível Superior - área de Gestão de Dados e Informações.;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6947;21/08/2026;21/08/2026
6944;777/2026;2026;Ministério do Desenvolvimento Agrário e Agricultura Familiar;aberto;Encerra em: 3 dias;24/08/2026;-5;;;órgão-alvo(+2), gratificação técnica(-3), nível médio/intermediário(-4);nível médio/intermediário;¿CGGP/DIPEC -  1 (uma) vaga  GSISTE - SIPEC, NIVEL SUPERIOR | CGGP/CADPES - 1 (uma) vaga GSISTE - SIPEC, NIVEL INTERMEDIÁRIO;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6944;21/08/2026;21/08/2026
6941;783/2026;2026;Agência Nacional de Mineração;aberto;Encerra em: 0 dias;21/08/2026;-2;;Brasília;Brasília(+1), gratificação técnica(-3);;GSISTE - Gerência Executiva de Logística - GLOGI | GSISTE - Gerência Executiva de Administração e Finanças - GADFI;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6941;21/08/2026;21/08/2026
6938;823/2026;2026;Fundação Nacional dos Povos Indígenas;aberto;Encerra em: 18 dias;08/09/2026;0;;;;;UTL José Boiteux | UTL Joinville | Segat - Serviço de Gestão Ambiental e Territorial | Sedisc - Serviço de Promoção dos Direitos Sociais e Cidadania | UTL Porto Alegre | UTL Paranaguá | UTL Palhoça | Sead - Serviço de Apoio Administrativo | Seprot - Serviço de Proteção Territorial | UTL Cruz Alta;https://oportunidades.sigepe.gov.br/oportunidades-portal/api/html/6938;21/08/2026;21/08/2026
